yyyy;mm;dd;1;2;3;4;5;6;zz
2017;3;1;12;22;29;30;31;38;4
2017;2;25;1;3;4;9;28;32;4
2017;2;22;1;5;7;25;42;46;3
2017;2;18;17;20;24;25;27;41;9
2017;2;15;7;13;18;33;36;39;4
2017;2;11;3;12;22;32;45;46;6
2017;2;8;14;22;28;30;41;46;6
2017;2;4;2;16;28;37;39;49;8
2017;2;1;3;13;19;21;25;42;9
2017;1;28;6;9;15;38;41;42;7
2017;1;25;1;2;14;17;25;49;5
2017;1;21;5;9;11;14;26;39;9
2017;1;18;10;11;13;28;39;40;1
2017;1;14;3;4;23;27;28;37;3
2017;1;11;20;27;29;32;34;38;1
2017;1;7;12;14;17;22;45;46;7
2017;1;4;5;13;21;37;39;48;2
2016;12;31;27;29;37;42;45;47;3
2016;12;28;1;3;4;22;29;30;3
2016;12;24;4;11;18;22;30;45;1
2016;12;21;3;21;23;38;39;42;7
2016;12;17;6;24;28;29;34;35;2
2016;12;14;33;34;38;42;43;44;4
2016;12;10;11;17;32;34;37;49;3
2016;12;7;13;18;36;40;42;48;8
2016;12;3;5;16;39;43;47;48;9
2016;11;30;1;10;12;19;21;47;6
2016;11;26;26;32;41;42;45;47;9
2016;11;23;4;27;28;31;38;44;7
2016;11;19;1;2;6;15;38;39;3
2016;11;16;13;19;20;38;39;44;8
2016;11;12;2;6;9;19;20;47;1
2016;11;9;6;13;20;33;39;41;5
2016;11;5;9;32;35;38;42;43;8
2016;11;2;1;12;19;26;30;48;6
2016;10;29;5;7;8;26;28;36;8
2016;10;26;11;15;18;43;44;45;6
2016;10;22;2;21;26;32;36;48;7
2016;10;19;16;32;33;40;42;43;5
2016;10;15;7;13;19;29;38;41;9
2016;10;12;22;29;35;37;39;47;2
2016;10;8;14;21;32;33;35;48;5
2016;10;5;1;5;6;17;28;41;1
2016;10;1;7;20;25;26;34;37;1
2016;9;28;11;15;38;41;44;46;2
2016;9;24;4;15;18;21;32;45;4
2016;9;21;1;8;11;18;24;29;5
2016;9;17;3;34;35;37;46;47;2
2016;9;14;2;3;15;20;31;35;8
2016;9;10;1;3;6;11;24;43;0
2016;9;7;7;11;18;19;21;27;0
2016;9;3;8;14;18;25;30;36;1
2016;8;31;3;7;31;37;40;41;3
2016;8;27;1;8;22;32;33;43;9
2016;8;24;6;14;16;35;42;48;2
2016;8;20;23;28;30;31;37;45;5
2016;8;17;2;10;30;34;41;49;1
2016;8;13;6;14;28;30;37;39;2
2016;8;10;11;12;17;23;43;49;9
2016;8;6;6;25;26;33;45;47;0
2016;8;3;15;21;26;34;42;43;6
2016;7;30;6;13;23;26;30;33;2
2016;7;27;5;6;7;17;18;39;1
2016;7;23;5;25;29;43;47;48;5
2016;7;20;1;18;20;28;40;49;5
2016;7;16;1;18;22;30;34;44;5
2016;7;13;10;14;20;27;33;41;7
2016;7;9;1;34;37;40;44;49;7
2016;7;6;4;16;18;37;38;42;0
2016;7;2;4;6;8;15;26;30;9
2016;6;29;4;5;28;32;44;49;4
2016;6;25;2;6;10;11;34;44;3
2016;6;22;8;19;35;40;41;43;8
2016;6;18;2;8;12;17;19;27;1
2016;6;15;7;12;13;33;48;49;7
2016;6;11;6;13;21;27;38;45;5
2016;6;8;2;5;30;33;44;48;6
2016;6;4;5;6;22;31;35;42;3
2016;6;1;19;25;30;35;40;46;2
2016;5;28;5;9;17;24;39;45;3
2016;5;25;6;9;10;21;30;36;6
2016;5;21;2;5;29;46;47;48;4
2016;5;18;10;13;19;26;31;41;4
2016;5;14;5;13;15;26;30;44;9
2016;5;11;10;19;20;31;39;41;5
2016;5;7;16;32;34;37;42;44;9
2016;5;4;2;11;14;35;39;49;5
2016;4;30;14;26;28;30;36;43;6
2016;4;27;1;6;9;21;26;37;6
2016;4;23;8;15;16;17;27;35;4
2016;4;20;1;5;11;13;20;49;8
2016;4;16;5;14;15;20;22;38;9
2016;4;13;2;13;17;35;36;49;7
2016;4;9;1;4;38;39;46;47;2
2016;4;6;6;19;25;30;33;42;4
2016;4;2;1;10;17;23;28;38;6
2016;3;30;1;5;9;13;26;41;1
2016;3;26;1;3;31;33;40;41;5
2016;3;23;9;10;16;22;31;44;0
2016;3;19;4;10;15;37;44;49;5
2016;3;16;9;11;26;29;35;46;6
2016;3;12;20;26;30;39;47;49;4
2016;3;9;10;13;32;37;46;48;7
2016;3;5;7;10;33;37;43;46;3
2016;3;2;1;8;10;16;17;40;9
2016;2;27;7;10;15;25;37;49;7
2016;2;24;5;13;23;31;47;48;5
2016;2;20;1;13;16;29;30;31;6
2016;2;17;24;26;32;35;38;39;3
2016;2;13;18;20;30;32;43;45;8
2016;2;10;2;17;19;32;34;38;4
2016;2;6;10;16;25;28;34;49;5
2016;2;3;10;18;19;31;33;47;8
2016;1;30;18;23;33;34;40;48;9
2016;1;27;12;14;16;19;29;47;3
2016;1;23;2;16;25;26;27;40;0
2016;1;20;7;12;14;15;19;46;3
2016;1;16;9;21;23;31;34;39;8
2016;1;13;14;18;19;25;35;46;0
2016;1;9;10;13;31;34;46;48;6
2016;1;6;3;12;27;36;42;45;0
2016;1;2;1;23;30;35;43;47;8
2015;12;30;8;14;17;26;27;45;4
2015;12;26;9;15;19;22;40;41;5
2015;12;23;13;18;21;32;34;47;8
2015;12;19;1;7;10;22;33;46;1
2015;12;16;9;13;21;24;27;36;3
2015;12;12;1;3;6;24;31;43;6
2015;12;9;3;30;32;37;44;48;4
2015;12;5;6;12;29;35;42;47;7
2015;12;2;3;10;12;26;31;44;8
2015;11;28;3;6;10;24;37;47;1
2015;11;25;14;19;36;41;43;46;9
2015;11;21;12;17;23;29;42;46;8
2015;11;18;9;19;21;33;48;49;9
2015;11;14;1;8;24;29;31;48;3
2015;11;11;14;15;20;25;28;41;3
2015;11;7;4;11;17;25;39;48;4
2015;11;4;5;12;24;33;40;45;6
2015;10;31;7;9;17;26;29;40;9
2015;10;28;1;18;29;33;47;49;0
2015;10;24;4;6;18;22;29;36;2
2015;10;21;4;17;18;24;39;49;2
2015;10;17;9;10;19;23;28;41;0
2015;10;14;15;17;22;28;29;41;5
2015;10;10;5;26;37;38;40;49;1
2015;10;7;7;11;12;25;28;33;4
2015;10;3;18;31;32;33;40;41;8
2015;9;30;1;2;16;22;39;49;8
2015;9;26;6;15;16;31;33;34;7
2015;9;23;10;14;18;24;33;44;9
2015;9;19;8;12;17;29;37;44;3
2015;9;16;1;4;5;24;30;42;2
2015;9;12;2;6;15;22;26;28;5
2015;9;9;2;19;26;28;44;46;2
2015;9;5;1;12;13;22;43;47;1
2015;9;2;2;3;16;18;20;35;1
2015;8;29;8;12;16;23;28;44;8
2015;8;26;3;16;26;30;36;42;2
2015;8;22;2;3;26;44;45;46;7
2015;8;19;16;22;24;28;38;48;2
2015;8;15;3;9;14;26;30;42;3
2015;8;12;6;10;15;24;28;45;9
2015;8;8;7;13;29;36;42;48;0
2015;8;5;7;10;15;35;38;39;1
2015;8;1;4;7;16;20;31;36;4
2015;7;29;18;25;30;37;39;44;5
2015;7;25;4;17;30;41;46;47;6
2015;7;22;18;19;20;22;33;43;7
2015;7;18;5;17;18;30;31;42;6
2015;7;15;9;18;34;43;45;48;2
2015;7;11;11;19;20;30;35;42;9
2015;7;8;5;12;13;33;38;39;4
2015;7;4;14;17;18;32;42;47;1
2015;7;1;10;11;35;37;41;42;2
2015;6;27;3;19;28;29;33;41;7
2015;6;24;16;20;31;33;42;45;3
2015;6;20;6;16;21;32;35;38;4
2015;6;17;8;12;15;37;41;48;2
2015;6;13;1;4;5;18;26;43;0
2015;6;10;2;12;22;34;40;45;0
2015;6;6;15;16;22;29;41;48;0
2015;6;3;8;20;23;24;37;48;6
2015;5;30;2;3;11;24;31;44;0
2015;5;27;4;8;11;12;14;29;2
2015;5;23;4;6;14;27;28;46;0
2015;5;20;2;11;26;30;33;38;7
2015;5;16;14;15;16;34;40;47;5
2015;5;13;3;7;20;27;39;49;1
2015;5;9;7;13;14;29;35;41;3
2015;5;6;2;6;26;38;40;43;7
2015;5;2;3;6;7;9;18;45;9
2015;4;29;7;9;20;38;41;43;6
2015;4;25;1;3;7;11;23;36;6
2015;4;22;4;11;21;22;34;35;7
2015;4;18;3;5;14;17;39;44;7
2015;4;11;2;11;15;36;46;47;6
2015;4;4;12;20;23;28;34;43;8
2015;4;1;7;16;22;29;32;38;8
2015;3;28;6;7;26;27;30;46;4
2015;3;25;13;16;19;27;39;48;1
2015;3;21;3;4;5;19;30;41;1
2015;3;18;6;12;23;25;40;46;9
2015;3;14;15;21;23;39;43;48;1
2015;3;11;4;8;10;28;32;42;6
2015;3;7;1;6;7;16;19;41;5
2015;3;4;3;16;22;36;46;48;7
2015;2;28;2;20;25;41;45;49;0
2015;2;25;20;25;27;30;38;43;0
2015;2;21;3;18;31;35;41;42;1
2015;2;18;24;27;31;42;44;46;6
2015;2;14;21;23;29;36;41;42;3
2015;2;11;6;25;26;27;28;47;5
2015;2;7;12;13;14;23;25;47;9
2015;2;4;21;22;29;37;40;49;2
2015;1;31;7;27;42;45;46;47;5
2015;1;28;6;8;22;38;43;47;6
2015;1;24;1;7;18;27;37;47;8
2015;1;21;11;12;15;29;41;48;9
2015;1;17;8;11;22;29;46;47;1
2015;1;14;1;19;33;38;39;46;5
2015;1;10;5;11;19;20;32;43;6
2015;1;7;10;17;41;42;43;46;3
2015;1;3;17;19;28;36;37;38;6
2014;12;31;15;20;22;27;39;49;7
2014;12;27;10;36;43;44;45;48;7
2014;12;24;14;25;33;38;43;45;5
2014;12;20;3;4;6;10;24;32;9
2014;12;17;16;17;22;28;44;46;6
2014;12;13;5;8;12;18;26;43;6
2014;12;10;9;11;22;29;30;41;6
2014;12;6;1;16;21;29;44;47;2
2014;12;3;4;10;14;23;32;35;3
2014;11;29;7;17;24;30;38;46;7
2014;11;26;8;11;24;32;33;44;6
2014;11;22;1;5;6;11;25;37;9
2014;11;19;4;5;18;26;34;48;0
2014;11;15;10;13;14;19;25;31;6
2014;11;12;14;24;28;32;37;47;2
2014;11;8;1;8;9;13;41;45;8
2014;11;5;6;8;17;31;33;49;9
2014;11;1;4;14;24;30;41;48;7
2014;10;29;4;9;21;26;39;43;4
2014;10;25;22;23;28;30;31;35;8
2014;10;22;1;12;25;35;42;49;1
2014;10;18;11;15;27;29;30;48;0
2014;10;15;12;14;16;26;27;31;9
2014;10;11;1;23;32;34;36;44;0
2014;10;8;6;19;21;32;34;37;8
2014;10;4;4;7;24;31;33;45;6
2014;10;1;1;3;21;23;39;42;4
2014;9;27;9;13;16;19;39;48;5
2014;9;24;4;31;34;35;36;46;3
2014;9;20;1;6;14;40;42;47;6
2014;9;17;16;32;38;43;44;49;9
2014;9;13;7;11;25;27;33;39;3
2014;9;10;8;23;24;32;38;45;3
2014;9;6;6;11;17;18;32;33;6
2014;9;3;18;19;23;39;40;47;2
2014;8;30;14;18;21;25;39;43;3
2014;8;27;14;15;16;25;29;47;5
2014;8;23;7;9;10;18;23;36;7
2014;8;20;1;3;22;28;31;35;4
2014;8;16;2;5;10;15;29;49;8
2014;8;13;3;24;30;36;41;46;6
2014;8;9;3;11;15;22;37;40;5
2014;8;6;5;6;7;21;31;45;1
2014;8;2;6;8;11;20;40;41;7
2014;7;30;9;10;11;12;13;37;3
2014;7;26;14;26;28;30;33;38;7
2014;7;23;9;15;20;25;33;38;5
2014;7;19;5;6;19;34;41;49;0
2014;7;16;3;17;26;29;31;41;5
2014;7;12;5;17;26;29;37;39;2
2014;7;9;3;4;18;25;26;45;3
2014;7;5;6;10;22;24;38;41;0
2014;7;2;6;10;15;18;41;44;8
2014;6;28;2;18;26;32;36;39;3
2014;6;25;1;6;7;13;28;34;4
2014;6;21;12;21;30;32;41;44;5
2014;6;18;6;20;28;33;38;43;5
2014;6;14;6;11;12;17;42;47;5
2014;6;11;3;6;11;21;43;44;1
2014;6;7;12;23;27;35;42;47;2
2014;6;4;20;21;24;27;28;43;0
2014;5;31;5;13;17;19;31;41;5
2014;5;28;10;13;16;29;40;44;0
2014;5;24;2;7;13;16;27;34;9
2014;5;21;2;5;6;16;21;31;4
2014;5;17;9;21;24;37;39;42;9
2014;5;14;2;7;22;30;32;39;8
2014;5;10;9;11;20;21;26;42;1
2014;5;7;1;19;23;25;28;30;9
2014;5;3;2;14;34;35;40;41;3
2014;4;30;6;10;30;35;38;48;6
2014;4;26;3;7;23;34;35;48;1
2014;4;23;12;13;22;23;40;44;3
2014;4;19;3;4;25;46;47;48;4
2014;4;16;18;24;28;30;35;49;8
2014;4;12;13;16;28;38;48;49;1
2014;4;9;6;12;32;39;43;46;9
2014;4;5;14;17;21;37;42;47;4
2014;4;2;4;6;20;28;42;48;0
2014;3;29;5;7;8;11;20;24;1
2014;3;26;3;22;30;36;38;43;4
2014;3;22;7;10;29;30;34;46;6
2014;3;19;1;7;10;23;25;40;3
2014;3;15;3;12;23;33;36;41;9
2014;3;12;4;7;12;27;31;38;4
2014;3;8;10;16;24;32;43;45;9
2014;3;5;5;13;16;33;34;44;3
2014;3;1;5;13;24;28;38;47;1
2014;2;26;8;9;11;19;31;48;7
2014;2;22;25;26;30;32;39;46;5
2014;2;19;4;18;21;29;36;43;3
2014;2;15;7;8;17;31;44;48;1
2014;2;12;10;15;16;18;35;37;5
2014;2;8;4;18;29;33;42;44;4
2014;2;5;7;9;16;17;26;32;1
2014;2;1;17;18;42;46;47;49;2
2014;1;29;3;12;15;26;34;36;5
2014;1;25;24;32;36;37;45;48;8
2014;1;22;2;18;23;26;42;46;8
2014;1;18;11;15;16;26;32;36;2
2014;1;15;6;22;39;41;43;49;4
2014;1;11;5;8;14;23;29;38;1
2014;1;8;20;28;31;36;44;45;9
2014;1;4;16;19;25;36;39;48;1
2014;1;1;6;8;23;24;25;46;6
2013;12;28;6;9;10;22;32;43;3
2013;12;25;4;26;27;40;44;46;8
2013;12;21;4;5;17;25;27;35;5
2013;12;18;2;12;18;34;35;44;9
2013;12;14;5;6;17;19;27;38;3
2013;12;11;7;18;22;38;39;49;6
2013;12;7;4;9;15;19;26;48;0
2013;12;4;13;20;22;41;42;49;6
2013;11;30;1;24;30;33;39;47;7
2013;11;27;11;28;31;36;38;42;7
2013;11;23;7;12;19;30;33;35;5
2013;11;20;9;16;19;24;36;42;5
2013;11;16;9;19;24;39;42;43;4
2013;11;13;5;12;15;16;35;46;1
2013;11;9;6;12;13;28;32;33;7
2013;11;6;12;13;22;30;35;36;2
2013;11;2;9;12;15;19;24;38;5
2013;10;30;10;12;13;30;36;45;1
2013;10;26;9;18;20;22;24;25;2
2013;10;23;7;16;21;23;26;33;7
2013;10;19;4;10;14;24;38;40;5
2013;10;16;9;32;38;40;44;49;8
2013;10;12;14;25;29;38;44;46;9
2013;10;9;9;11;22;29;46;48;3
2013;10;5;3;9;12;35;44;48;5
2013;10;2;17;27;42;43;46;47;3
2013;9;28;3;23;31;32;37;41;2
2013;9;25;7;14;26;30;33;43;3
2013;9;21;8;13;22;32;40;43;8
2013;9;18;4;11;20;21;30;46;3
2013;9;14;10;21;22;23;30;40;2
2013;9;11;12;16;28;40;42;48;3
2013;9;7;12;22;24;37;41;43;9
2013;9;4;1;17;19;31;34;38;9
2013;8;31;1;22;26;37;39;44;4
2013;8;28;2;3;22;29;35;37;9
2013;8;24;2;6;25;27;29;30;3
2013;8;21;5;15;21;27;29;48;1
2013;8;17;13;17;19;25;28;42;8
2013;8;14;3;8;9;34;35;39;3
2013;8;10;3;9;17;31;36;39;7
2013;8;7;11;14;16;24;36;42;4
2013;8;3;6;19;25;31;40;47;2
2013;7;31;3;6;26;38;39;47;7
2013;7;27;11;20;30;31;34;40;0
2013;7;24;2;8;15;28;31;36;6
2013;7;20;3;11;18;29;33;46;4
2013;7;17;11;17;20;26;28;38;3
2013;7;13;3;18;28;29;38;48;1
2013;7;10;11;16;19;29;41;43;9
2013;7;6;3;8;11;17;20;49;9
2013;7;3;7;9;13;14;17;36;2
2013;6;29;7;22;28;36;43;44;9
2013;6;26;2;22;31;32;39;43;2
2013;6;22;5;10;19;31;35;43;8
2013;6;19;3;18;19;29;42;49;5
2013;6;15;6;14;16;25;43;49;1
2013;6;12;5;6;7;10;15;23;6
2013;6;8;3;12;26;30;38;47;3
2013;6;5;19;21;30;39;47;49;1
2013;6;1;2;13;28;30;32;36;1
2013;5;29;2;5;7;14;40;41;5
2013;5;25;3;17;23;25;29;44;0
2013;5;22;6;8;23;24;35;36;8
2013;5;18;1;2;16;20;22;32;6
2013;5;15;2;4;16;29;38;45;2
2013;5;11;3;7;31;32;40;41;2
2013;5;8;4;6;11;22;30;42;7
2013;5;4;5;7;11;21;22;48;8
2013;5;1;9;12;15;16;22;28;5
2013;4;27;3;10;11;28;32;43;41
2013;4;24;7;14;19;39;48;49;9
2013;4;20;6;28;31;36;38;48;10
2013;4;17;9;24;35;37;38;45;20
2013;4;13;10;15;26;28;35;45;4
2013;4;10;26;27;31;32;43;45;16
2013;4;6;5;7;17;30;32;34;35
2013;4;3;16;21;23;29;31;38;24
2013;3;30;7;30;31;35;39;46;8
2013;3;27;1;2;3;13;21;38;7
2013;3;23;9;16;30;37;41;49;10
2013;3;20;5;10;17;24;35;37;4
2013;3;16;4;10;17;34;39;42;45
2013;3;13;3;26;29;32;38;46;34
2013;3;9;2;12;14;20;39;47;16
2013;3;6;2;6;10;14;15;29;41
2013;3;2;2;4;14;17;45;48;27
2013;2;27;5;6;16;25;28;33;10
2013;2;23;17;26;35;44;46;49;47
2013;2;20;5;6;20;27;36;45;47
2013;2;16;6;22;23;24;33;39;18
2013;2;13;4;6;11;14;15;38;26
2013;2;9;5;20;22;26;29;47;25
2013;2;6;7;14;16;24;31;32;22
2013;2;2;2;4;17;28;34;44;40
2013;1;30;2;4;5;26;27;36;19
2013;1;26;12;28;31;33;36;37;18
2013;1;23;3;4;8;12;22;28;7
2013;1;19;23;27;28;39;45;47;6
2013;1;16;3;8;11;14;18;26;41
2013;1;12;7;10;11;15;43;48;38
2013;1;9;6;7;22;26;36;43;18
2013;1;5;22;26;39;45;47;49;43
2013;1;2;3;18;21;36;41;44;40
2012;12;29;11;25;31;35;38;43;29
2012;12;26;3;10;13;34;36;43;21
2012;12;22;11;23;32;38;44;49;45
2012;12;19;25;27;32;36;40;43;45
2012;12;15;4;25;27;30;31;40;19
2012;12;12;1;8;10;11;15;33;35
2012;12;8;15;19;27;34;42;48;31
2012;12;5;20;23;24;27;36;38;28
2012;12;1;2;3;4;6;23;45;1
2012;11;28;11;21;26;40;42;45;46
2012;11;24;2;12;23;28;32;48;31
2012;11;21;1;9;10;24;27;29;19
2012;11;17;5;7;15;24;32;36;35
2012;11;14;2;9;11;17;34;45;42
2012;11;10;2;3;25;28;38;49;14
2012;11;7;2;6;21;31;46;47;11
2012;11;3;7;8;26;42;43;46;16
2012;10;31;3;8;13;30;34;49;37
2012;10;27;11;23;33;39;44;46;8
2012;10;24;6;14;18;33;39;44;12
2012;10;20;6;8;11;15;26;33;17
2012;10;17;5;10;12;14;46;47;3
2012;10;13;9;10;36;37;42;43;20
2012;10;10;13;15;28;38;43;48;11
2012;10;6;8;20;22;34;44;46;40
2012;10;3;13;28;35;46;48;49;29
2012;9;29;1;4;20;34;39;41;47
2012;9;26;10;12;14;29;40;47;4
2012;9;22;7;24;40;41;48;49;1
2012;9;19;1;11;16;20;31;44;12
2012;9;15;6;8;9;34;41;48;23
2012;9;12;8;19;26;36;39;49;11
2012;9;8;19;38;39;41;48;49;4
2012;9;5;4;7;18;24;37;44;38
2012;9;1;3;6;7;16;26;48;22
2012;8;29;22;29;35;38;40;45;46
2012;8;25;16;17;22;25;27;35;42
2012;8;22;1;7;11;15;31;49;8
2012;8;18;5;16;28;32;34;40;18
2012;8;15;1;12;14;15;34;37;45
2012;8;11;1;2;3;20;47;49;35
2012;8;8;12;13;22;41;43;49;16
2012;8;4;15;18;22;23;38;40;11
2012;8;1;19;26;32;41;43;44;3
2012;7;28;16;27;31;37;41;49;20
2012;7;25;2;8;13;25;44;45;6
2012;7;21;4;24;26;31;38;40;27
2012;7;18;20;21;23;29;34;47;27
2012;7;14;6;9;10;22;29;33;5
2012;7;11;11;16;21;29;32;43;25
2012;7;7;6;10;29;30;43;49;34
2012;7;4;3;6;12;25;33;49;21
2012;6;30;7;8;20;22;30;41;27
2012;6;27;2;5;15;31;37;43;48
2012;6;23;11;13;19;27;33;39;2
2012;6;20;3;6;17;22;24;28;16
2012;6;16;1;17;28;33;46;48;10
2012;6;13;1;29;32;33;40;46;10
2012;6;9;10;15;17;22;28;31;12
2012;6;6;1;9;17;27;38;42;43
2012;6;2;9;13;26;30;37;41;33
2012;5;30;2;10;21;23;44;45;42
2012;5;26;5;11;15;34;44;48;8
2012;5;23;1;23;26;31;36;42;3
2012;5;19;20;34;36;42;43;47;17
2012;5;16;16;24;41;44;45;46;47
2012;5;12;13;18;30;31;34;36;2
2012;5;9;15;16;17;20;40;45;9
2012;5;5;5;8;14;28;31;48;42
2012;5;2;4;14;15;17;20;35;25
2012;4;28;11;17;20;33;37;47;36
2012;4;25;3;23;26;40;42;46;36
2012;4;21;6;7;19;20;24;41;17
2012;4;18;6;8;21;33;34;35;13
2012;4;14;26;29;37;39;42;48;32
2012;4;11;2;4;6;7;16;44;10
2012;4;7;2;10;12;15;35;44;43
2012;4;4;19;23;29;37;42;46;21
2012;3;31;1;25;26;27;40;43;4
2012;3;28;2;17;22;23;39;42;8
2012;3;24;22;35;37;39;43;49;30
2012;3;21;4;14;26;34;38;49;27
2012;3;17;3;7;23;33;42;43;1
2012;3;14;3;8;9;13;22;49;27
2012;3;10;1;10;15;21;26;35;39
2012;3;7;25;29;33;38;47;49;3
2012;3;3;4;22;24;33;40;48;31
2012;2;29;6;11;25;32;35;43;29
2012;2;25;7;11;14;16;43;48;38
2012;2;22;4;12;14;19;24;48;49
2012;2;18;3;13;25;27;40;47;26
2012;2;15;15;29;35;36;40;41;11
2012;2;11;2;11;32;34;48;49;14
2012;2;8;8;13;24;34;45;47;12
2012;2;4;10;15;24;27;40;45;17
2012;2;1;3;6;7;18;37;39;49
2012;1;28;1;16;19;27;37;48;4
2012;1;25;1;4;6;24;33;47;21
2012;1;21;26;27;43;45;46;49;11
2012;1;18;6;7;13;18;32;33;38
2012;1;14;1;6;7;11;20;32;26
2012;1;11;8;11;15;34;36;47;12
2012;1;7;22;24;29;33;37;47;2
2012;1;4;3;18;24;29;36;46;39
2011;12;31;2;5;11;17;19;28;10
2011;12;28;6;13;18;19;20;21;32
2011;12;24;6;12;26;27;32;36;42
2011;12;21;15;17;21;24;39;43;5
2011;12;17;3;19;33;38;44;47;27
2011;12;14;8;14;29;32;36;37;38
2011;12;10;2;4;5;10;25;34;24
2011;12;7;11;16;20;27;32;38;1
2011;12;3;1;10;25;29;44;47;22
2011;11;30;4;12;18;31;42;44;13
2011;11;26;3;13;23;33;38;49;4
2011;11;23;1;10;23;30;38;39;11
2011;11;19;9;24;26;33;40;47;16
2011;11;16;8;14;26;33;47;49;15
2011;11;12;7;12;15;16;30;42;2
2011;11;9;6;14;20;27;28;48;33
2011;11;5;7;13;21;37;41;43;24
2011;11;2;3;6;23;40;41;43;14
2011;10;29;6;17;23;24;35;44;10
2011;10;26;15;30;33;34;37;38;47
2011;10;22;6;7;8;26;34;35;11
2011;10;19;8;10;15;25;31;34;40
